,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for,Immediate possession
315,2 BHK in Madipakkam,"Independent House, Bazaar Main Rd, Sadasiva Nagar,near Saraswathy ...",11000,50000,850,UnFurnished,>10 years ,All,Ready to Move
316,1 BHK in Medavakkam,"Standalone Building, Rajeswari Street,near Vidhya Matric Higher S ...",6000,25000,450,UnFurnished,3-5 years ,All,Ready to Move
317,1 BHK in Pallavaram,"Standalone Building, Latheef Colony,near Pcmc Hospital,",8500,30000,700,UnFurnished,5-10 years ,All,Ready to Move
318,2 BHK in Madipakkam,"Standalone Building, Vaigai Street, Near Saraswathy Multispeciali ...",10000,60000,1100,UnFurnished,3-5 years ,Family,Ready to Move
319,"2 BHK in Mudalavan Apartment, Adambakkam","Andal Nagar Ii Main Road, Near Sree Bhuvaneswari Bhakta Mandali",-,750000,660,Semi Furnished,>10 years ,Bachelors,Ready to Move
320,2 BHK in Royapettah,"Independent House, Royapettah Near Gowdiamutt Rd Near Ponnusamy H ...",33000,180000,750,Full Furnished,3-5 years ,All,Ready to Move
321,2 BHK in Thirumullaivoyal,"Independent House, Kamarajar St, Near Palli Vinayagar Temple",8000,50000,1000,Semi Furnished,5-10 years ,Family,Ready to Move
322,2 BHK in Mogappair West,"Independent House, Guruswamy Road,near Vgn Monte Carlo,",18000,180000,1100,UnFurnished,Under Construction,Family,01-Mar-2019
323,"2 BHK in The Heritage, Thirumudivakkam","Tirumudivakkam Main Rd, Near Hungry Birds And Near Navin's Hill V ...",9500,60000,900,Semi Furnished,3-5 years ,Family,Ready to Move
324,"1 BHK in Nithya Flats, Nanganallur","Lakshmi Nagar 2nd Street, Near City Union Bank",11000,40000,520,Semi Furnished,Newly Constructed,Family,Ready to Move
325,"1 BHK in Anugraha, KK Nagar","Sankareswari Nagar 2nd Street, Munusamy Salai, Bangaru Colony, Ne ...",6800,21000,500,Semi Furnished,5-10 years ,Bachelors,Ready to Move
326,2 BHK in Ekkatuthangal,"Standalone Building, Sidco Industrial Estate, Behind Olympia Tech ...",9000,70000,650,UnFurnished,Newly Constructed,All,Ready to Move
327,"3 BHK in JVC Palace, Tambaram","Annai Nagar St Ext, Near Aishwarya Furniture",13000,75000,1000,UnFurnished,5-10 years ,Family,01-Mar-2019
328,2 BHK in Thoraipakkam,"Independent House, Secretariat Colony, Near Happy Departmental St ...",15000,100000,750,Semi Furnished,>10 years ,Family,01-Apr-2019
329,2 BHK in Mogappair,"Independent House, Madha Kovil Rd, Near P&c Projects Pvt Ltd",12000,100000,800,UnFurnished,Newly Constructed,Family,Ready to Move
330,"2 BHK in Apartment, Madipakkam, Chennai, Tamil Nadu, India","Rajaji Nagar 4th Cross Street,near Apollo Pharmacy",15000,150000,1100,UnFurnished,Newly Constructed,Family,Ready to Move
331,"2 BHK in ABIRAAMI VIJAYAM, Selaiyur",Karnam Street Near Selaiyur Police Station,10000,60000,880,UnFurnished,1-3 years ,Family,15-Feb-2019
332,1 RK in Nangainallur,"Independent House, Anna Salai, Karunanethi Nagar, Near Swarna Kam ...",5000,30000,280,UnFurnished,>10 years ,Bachelors,Ready to Move
333,"1 BHK in Saradha Flats, Nangainallur",40 Th Street Near Rajkumar Sulochana Matriculation Higher Seconda ...,10500,70000,506,Semi Furnished,>10 years ,All,01-Mar-2019
334,3 BHK in Kolathur,"Independent House, 11th Cross Street Senthli Nagar Near Drj Hospi ...",30000,150000,1800,Semi Furnished,>10 years ,All,01-Mar-2019
335,2 BHK in Kanathur Reddikuppam,"Independent House, Jagannath Temple Street,near Oasis Avenue And ...",12000,60000,1100,UnFurnished,1-3 years ,All,Ready to Move
336,1 BHK in New Perungalathur,"Standalone Building, Soorathamman Koil 1st Street Near Soorathamm ...",7000,40000,600,UnFurnished,5-10 years ,All,Ready to Move
337,1 BHK in Velappanchavadi,"Independent House, Poonamallee High Rd, Near Saveetha Dental Coll ...",-,375000,500,UnFurnished,3-5 years ,All,Ready to Move
338,2 BHK in Chromepet,"Independent House, Hastinapuram Main Road, Near Zion Matriculatio ...",8500,50000,850,Semi Furnished,5-10 years ,Family,Ready to Move
339,2 BHK in Villivakkam,"Standalone Building, Perumal Koil,north Mada Street, Near Ajantha ...",8000,80000,550,UnFurnished,>10 years ,Family,Ready to Move
340,"2 BHK in Purva Windermere, Pallikaranai","Vadakkupattu Road, Pallikaranai, Chennai, Tamil Nadu, India.",16500,100000,1254,Semi Furnished,Newly Constructed,Family,Ready to Move
341,"1 BHK in prashanti apartments, kodambakkam","Dr.subbaraya Nagar,near Hotel Brownstar",10000,60000,532,Semi Furnished,>10 years ,All,07-Feb-2019
342,"1 BHK in Madipakkam, Chennai, Tamil Nadu, India","Independent House, Tambaram Main Rd, Oil Mill And Kamdhenu Electr ...",5000,25000,370,UnFurnished,>10 years ,All,Ready to Move
343,"2 BHK in Balaji Apartment, Porur",Sakthi Nagar Near Shell Petrol Bunk,16000,120000,1000,Semi Furnished,3-5 years ,Family,Ready to Move
344,"1 BHK in Aalayam. Manju Group Apartments, Thandalam","Mariamman Koil St, Subham Avenue, Near Perumal Koil",7500,34996,484,Semi Furnished,Newly Constructed,All,Ready to Move
345,"2 BHK in Colour Homes, Tambaram","Ttk Nagar,near Selva Vinayagar Temple",10000,60000,1200,Semi Furnished,3-5 years ,Family,01-Mar-2019
346,"1 BHK in Ssm Nagar, Perungalathur","Alappakam, New Perungalathur, Chennai, Tamil Nadu, India.",7000,100000,663,Semi Furnished,Newly Constructed,All,Ready to Move
347,2 BHK in Ayanavaram,"Standalone Building, Vasantha Nagar,near Ayyappa Temple",10000,100000,600,UnFurnished,Under Construction,Family,Ready to Move
348,"2 BHK in Nest Builders, Semmenchery","Old Mahabalipuram Rd, Kamaraj Nagar, Near St.joseph's Institute O ...",12000,30000,900,UnFurnished,3-5 years ,Family,Ready to Move
349,1 BHK in Perungudi,"Standalone Building, Panchayat Office Road,near Chennai Corporat ...",7500,35000,800,Semi Furnished,1-3 years ,All,01-Mar-2019
350,"2 BHK in Raj and Gothai Nilas, Medavakkam, Chennai, Tamil Nadu, I ...",Near Velammal Newgen School,12500,50000,1000,Semi Furnished,5-10 years ,Family,Ready to Move
351,3 BHK in Vettuvankeni,"Independent House, East Coast Rd, Behind Hub At Ecr",15000,75000,1200,UnFurnished,3-5 years ,All,Ready to Move
352,1 BHK in Pallavaram,"Standalone Building, Near Kyte Pre School",7200,40000,500,Semi Furnished,Newly Constructed,Family,Ready to Move
353,"2 BHK in Radiance Mercury, Perumbakkam","Radiance Mercury Road, Gandhi Nagar, Perumbakkam, Chennai, Tamil ...",10000,50000,619,UnFurnished,3-5 years ,All,Ready to Move
354,"3 BHK in Prince Highlands, Iyyappanthangal","Old No. 1/1350, Mount Poonamallee Road, Iyyapanthangal, Chennai, ...",40000,200000,1790,Semi Furnished,Newly Constructed,All,Ready to Move
355,"3 BHK in Sai Lakshmi, Anna Nagar","Block Y, Jawahar Colony, Near Anna Nagar Methodist Church",30000,250000,1950,Semi Furnished,5-10 years ,Family,Ready to Move
356,3 BHK in Navallur,"Independent House, Old Mahabalipuram Road ,near By Ags Cinemas",35000,200000,1800,Full Furnished,1-3 years ,All,Ready to Move
357,"1 BHK in West Tambaram,","Independent House, Kadaperi Near National Theatre",7500,35000,500,UnFurnished,3-5 years ,All,Ready to Move
358,3 BHK in Pammal,"Standalone Building, Srinivasapuram 2nd Street Near Jk Castle And ...",6500,30000,1000,UnFurnished,Newly Constructed,All,Ready to Move
359,1 BHK in Guindy,"Independent House, Alandumadhava Perumal West Street, Near Sri Ba ...",8500,42500,400,UnFurnished,5-10 years ,Family,Ready to Move
360,2 BHK in Thoraipakkam,"Standalone Building, Vembuli Amman Koil St,near Fish Market",18000,60000,1200,Semi Furnished,3-5 years ,All,Ready to Move
361,1 RK in Arumbakkam,"Standalone Building, Amaravathi Nagar Main Rd, Near Central Bank ...",6000,50000,250,Semi Furnished,5-10 years ,Bachelors,Ready to Move
362,1 BHK in Thoraipakkam,"Standalone Building, Vembuli Amman Koil St,near Fish Market",11000,40000,750,Semi Furnished,3-5 years ,All,Ready to Move
363,3 BHK in Pallikaranai,"Independent House, Iit Colony 3rd Street, Near More Supermarket A ...",20000,150000,1600,Semi Furnished,5-10 years ,All,12-Feb-2019
364,1 BHK in Sithalapakkam,"Independent House, Tnhb Colony, Near Tnhb Sithalapakkam, Samarita ...",5500,30000,500,Semi Furnished,1-3 years ,Family,Ready to Move
365,"1 BHK in Sundars Apartments, Sembakkam","Sarojini Street,near Tellus Avenue Thiruvalluvar Street Park (pla ...",7000,35000,800,Semi Furnished,5-10 years ,All,15-Feb-2019
366,1 BHK in Keelkattalai,"Independent House, Gandhi Road Near Madipakkam S7 Police Stati ...",7000,42000,700,UnFurnished,5-10 years ,All,Ready to Move
367,"2 BHK in palce home, Kovilambakkam","Veeramani Nagar, Near Pole Star Matriculation School",10000,100000,850,UnFurnished,3-5 years ,Family,14-Feb-2019
368,1 BHK in West Mambalam,"Independent House, Ramakrishnapuram Near Public Health Centre",6500,20000,550,UnFurnished,>10 years ,All,Ready to Move
369,"1 BHK in Lake view apartment, Sozhinganallur, Behind Infosys, OMR ...",Sholinganallur,8000,25000,444,Semi Furnished,5-10 years ,Family,Ready to Move
370,1 BHK in West Tambaram,"Independent House, Mudichur Rd Near Rah Canara Bank Tambaram",7500,20000,650,Semi Furnished,1-3 years ,All,Ready to Move
371,2 BHK in Kovur,"Independent House, , Moogambigai Nagar Near Electricity Board Off ...",10000,50000,1200,Semi Furnished,1-3 years ,All,Ready to Move
372,"2 BHK in New Perungalathur,","Standalone Building, Balaji Nagar, Nedunchalai, Main Road Near C ...",8000,40000,825,Semi Furnished,3-5 years ,All,Ready to Move
373,1 BHK in Saidapet,"Standalone Building, Anna Salai Near Saidapet Police Station",8000,80000,400,Semi Furnished,5-10 years ,Family,Ready to Move
374,"1 BHK in Nest Ippo, Sholinganallur","Sri Alamelumangapuram Colony Part 1 Chennai, Vrishabadri, First C ...",8500,85000,600,UnFurnished,1-3 years ,All,Ready to Move
375,"2 BHK in vv illam, Selaiyur","Iob Colony, Near Bethesda Hospital",10000,50000,860,Semi Furnished,5-10 years ,All,01-Mar-2019
376,1 BHK in Ambattur Industrial Estate,"Independent House, 2nd Block Near Amudha Matriculation School",4500,30000,450,UnFurnished,3-5 years ,Bachelors,Ready to Move
377,"2 BHK in Shyams Manasarovar, Valasaravakkam","Majestic Colony Main Road, Chowdry Nagar, Valasarawakkam, Chennai ...",19000,125000,1000,Semi Furnished,>10 years ,Family,Ready to Move
378,2 BHK in Triplicane,"Standalone Building, Venkatrangam Pillai 1st St, Near Arulmigu Sr ...",8000,70000,450,Semi Furnished,>10 years ,All,Ready to Move
379,4+ BHK in Maduravoyal,"Independent House, Cmda Colony,near Bsnl Telephone Exchange",70000,700000,4000,Semi Furnished,>10 years ,All,Ready to Move
380,4 BHK in Injambakkam,"Independent House, Near Water Supply Head Work",48000,480000,1950,Semi Furnished,3-5 years ,Family,Ready to Move
381,2 BHK in Anna Nagar,"Standalone Building, Tirumaniamman Nagar Near Kalyani Jewel Maker ...",11000,70000,800,UnFurnished,>10 years ,Family,Ready to Move
382,"1 BHK in Paras Homes, Kodambakkam",Dr Ambedkar Rd Near Dr. Ambedkar Statue,13000,80000,600,Semi Furnished,>10 years ,All,01-Mar-2019
383,"3 BHK in Lcs Kamakoti Vilasam, Madipakkam","Kamakoti Vilasam, Madurakali Nagar, Karthikeyapuram,madipakkam, C ...",20000,125000,1668,Semi Furnished,5-10 years ,Family,07-Feb-2019
384,2 BHK in Velachery,"Standalone Building, Velachery Tambaram Main Road, Near J7 Traffi ...",12000,120000,1250,UnFurnished,3-5 years ,All,Ready to Move
385,1 BHK in Mylapore,"Standalone Building, Kapaleeswarar South Mada Street, Near Sir Si ...",18000,180000,800,Semi Furnished,1-3 years ,All,01-Mar-2019
386,1 BHK in West Jafferkhanpet,"Standalone Building, Anjugam Nagar,near Kasi Theatre",6000,30000,400,UnFurnished,>10 years ,All,Ready to Move
387,2 BHK in Royapettah,"Standalone Building, Pertho Lane, Near Gill Adarsh Matriculation ...",-,1500000,750,UnFurnished,>10 years ,Family,Ready to Move
388,2 BHK in New Perungalathur,"Standalone Building, Kamaraj High Rd Balaji Nagar, Near Kamakshi ...",15000,30000,700,Semi Furnished,>10 years ,All,Ready to Move
389,2 BHK in Anna Nagar,"Standalone Building, A E Block, Near Anna Nagar Post Office And A ...",10000,100000,636,UnFurnished,Newly Constructed,All,Ready to Move
390,"2 BHK in Castle, Perumbakkam","Perumbakkam, Chennai",15000,100000,980,Full Furnished,1-3 years ,All,Ready to Move
391,"2 BHK in Nam Illam, Perungudi","Maruthi Nagar, Near Rush Hour Super Market",15500,65000,1125,UnFurnished,3-5 years ,Family,01-Mar-2019
392,"3 BHK in MR Avenues, Tondiarpet","Seniamman Koil St, Near Emaar Grace Apartment",28000,168000,1447,UnFurnished,Newly Constructed,Family,Ready to Move
393,1 BHK in Thiruvanmiyur,"Independent House, Valmiki Street, Near Anbu Medicals",12000,90000,450,UnFurnished,1-3 years ,Family,01-Apr-2019
394,1 BHK in Anna Nagar,"Standalone Building, Tvs Colony, Near Sks Hospital And The Madras ...",8000,40000,600,Semi Furnished,Newly Constructed,Bachelors,Ready to Move
395,1 BHK in Kovilambakkam,"Independent House, Gandhinagar.5th Street. Near Kovilambakkam Pan ...",6500,20000,550,UnFurnished,Newly Constructed,Family,Ready to Move
396,2 BHK in KK Nagar,"Standalone Building, Pt Rajan Rd Near Kk Nagar Police Station",9500,95000,820,UnFurnished,5-10 years ,All,Ready to Move
397,"2 BHK in Mahakavi Bharathi Nagar, Vaysarpadi, Chennai, Tamil Nadu ...","Independent House, Krishnamoorthy Nagar, Vivekanada Street ,behin ...",8000,50000,700,Semi Furnished,>10 years ,All,Ready to Move
398,3 BHK in West Mambalam,"Standalone Building, Near Shri Prasanna Venkatesa Perumal Temple ...",23000,75000,1072,Semi Furnished,5-10 years ,Family,11-Feb-2019
399,1 BHK in Perungudi,"Independent House, Old Mahabalipuram Road,near Apollo Speciality ...",16000,75000,800,Full Furnished,3-5 years ,Family,01-Mar-2019
400,2 BHK in Ashok Nagar,"Standalone Building, 11th Avenue,near Reliance Fresh,",15500,100000,800,UnFurnished,>10 years ,Family,Ready to Move
401,"2 BHK in 1st St, Jyothi Mangala Nagar, Sithalapakkam, Chennai, Ta ...","Independent House, Aravind Ave Near Sithalapakkam Panchayat Offic ...",10000,50000,900,Semi Furnished,Newly Constructed,All,Ready to Move
402,"2 BHK in Apartment, Valasaravakkam","West Kamakoti Nagar, Near Vailankanni Matriculation Higher Seco ...",25000,150000,1200,Semi Furnished,>10 years ,All,Ready to Move
403,3 BHK in Porur,"Standalone Building, Karambakkam , Near Grand Residence",12000,50000,1000,UnFurnished,3-5 years ,Family,Ready to Move
404,"4 BHK in Alliance Bougainvillea Phase Ii, Porur","Kamakshiamman Nagar Layout, Iyyappanthangal, Chennai, Tamil Nadu, ...",32000,320000,2700,Semi Furnished,5-10 years ,Family,Ready to Move
405,"2 BHK in Srm Dhakshana, Velachery, Chennai, Tamil Nadu, India","Velachery, Chennai, Tamil Nadu, India.",10000,50000,700,UnFurnished,>10 years ,All,01-Apr-2019
406,"3 BHK in Achutha Arcade, Thoraipakkam","Gandhi Nagar, Near Akdr Golf Village",16000,60000,1232,Semi Furnished,1-3 years ,All,01-Mar-2019
407,"2 BHK in NRS FLATS, Medavakkam","Patel Road, ,near New Prince Shri Bhavani Arts And Science Colleg ...",7500,30000,886,UnFurnished,3-5 years ,Family,Ready to Move
408,2 BHK in Pammal,"Standalone Building, 3rd Cross Shankar Nagar, Near Sankara Eye Ho ...",7500,44000,810,UnFurnished,5-10 years ,All,Ready to Move
409,"2 BHK in Ragas, KK Nagar","S V Lingan Salai, Near Kamarajar Salai Bus Stop",25000,250000,1350,Semi Furnished,Newly Constructed,All,01-Mar-2019
410,2 BHK in gandhi nagar,"Independent House, Poomagal Nagar, Near Hilton Chennai,",16000,100000,600,UnFurnished,5-10 years ,All,Ready to Move
411,2 BHK in Madipakkam,"Independent House, Govinda Swamy Nagar 5th Street Near Gunalamman ...",10000,50000,600,UnFurnished,>10 years ,Family,Ready to Move
412,"2 BHK in standalone bulding, Besant Nagar","Coastal Rd, Near Ashtalakshmi Temple",27000,162000,1100,Semi Furnished,1-3 years ,All,Ready to Move
413,"2 BHK in Aditya Aravind, Guindy","Maduvinkarai, Near Varasithi Vinayakar Tirukoil",12500,40000,550,Semi Furnished,5-10 years ,Bachelors,01-Mar-2019
414,"2 BHK in NAADHAM, 46B, MGR Nagar, Velachery, Chennai, Tamil Nadu ...",Chockalingam Nagar Ags Colony,15000,60000,950,Semi Furnished,5-10 years ,Family,Ready to Move
415,"2 BHK in Jains Alpine Meadows, Thiruneermalai","Temple Town Road, Tiruneermalai, Chennai, Tamil Nadu, India.",16000,100000,954,Semi Furnished,3-5 years ,All,01-Mar-2019
416,"3 BHK in Prestige Bella Vista, Porur","No.1, Mount Poonamalle High Rd, Pushpa Nagar, Iyyappanthangal, Ch ...",45000,450000,2047,Semi Furnished,1-3 years ,Family,Ready to Move
417,2 BHK in East Tambaram,"Independent House, Buddhar Street,behind Jaigopal Garodia Nationa ...",7000,20000,800,UnFurnished,>10 years ,All,Ready to Move
418,"2 BHK in TNHB, Sholinganallur","Old Mahabalipuram Rd, Nedunchezian Salai, Near Infosys",16000,80000,880,Semi Furnished,Newly Constructed,Family,Ready to Move
419,1 BHK in KK Nagar,"Independent House, Mgr Nagar, Near Selva Mahal Thirumana Mandapam ...",9000,70000,550,Semi Furnished,>10 years ,Family,Ready to Move
420,2 BHK in Palavanthangal,"Independent House, Gandhi Street Near Dharmasasta Temple",20000,200000,1200,Semi Furnished,>10 years ,All,Ready to Move
421,1 BHK in Villivakkam,"Independent House, Tvs Industries Near Ms Agency",5000,50000,660,UnFurnished,5-10 years ,Family,Ready to Move
422,2 BHK in Ayappakkam,"Standalone Building, Near Ezhil Nagar Park",9500,50000,950,UnFurnished,5-10 years ,All,Ready to Move
423,1 BHK in Ayanavaram,"Standalone Building, P.e Kovil West Mada Lane Near Don Bosco Shri ...",9000,100000,550,UnFurnished,5-10 years ,Family,01-Mar-2019
424,2 BHK in Neelankarai,"Independent House, 12th Cross Street Rangareddy Garden Near Ranga ...",12000,50000,850,UnFurnished,5-10 years ,All,Ready to Move
425,1 RK in Madipakkam,"Independent House, Kuberan Nagar, Near Dr. Kamakshi Memorial Hosp ...",6000,20000,180,UnFurnished,Newly Constructed,Bachelors,Ready to Move
426,"1 BHK in Sai illam, Gopalapuram",Avvai Shanmugam Sala Near D.a.v. Boys Senior Secondary School,16500,165000,500,UnFurnished,Newly Constructed,Family,Ready to Move
427,"2 BHK in Apartment, Kovilambakkam","Kamarajar Salai, Lakshmi Nagar, Near Indian Overseas Bank",11000,66000,900,UnFurnished,Newly Constructed,Family,Ready to Move
428,"2 BHK in Sai illam, Gopalapuram",Avvai Shanmugam Sala Near D.a.v. Boys Senior Secondary School,21500,215000,700,UnFurnished,Newly Constructed,Family,Ready to Move
429,"2 BHK in Jains Adwitiya, Ambattur","Jains Adwitiya, Ksr Nagar, Ambattur, Chennai, Tamil Nadu 600053, ...",16000,96000,1030,Semi Furnished,Newly Constructed,Family,Ready to Move
430,"3 BHK in Ponni illam, Velachery","Tnhb Colony, Near St. Britto's Academy",18000,90000,1010,Semi Furnished,5-10 years ,All,Ready to Move
431,1 BHK in Taramani,"Independent House, Thanthai Periyar Nagar, Near Csi House Of Pray ...",8500,50000,600,UnFurnished,1-3 years ,All,Ready to Move
432,1 BHK in KK Nagar,"Independent House, Data Udupi Hotel",7000,50000,320,UnFurnished,5-10 years ,Family,Ready to Move
433,3 BHK in Semmancheri,"Independent House, 1st Avenue, N Ear Elan Park And Casagrand Elan ...",14000,50000,1324,Semi Furnished,3-5 years ,Family,Ready to Move
434,"2 BHK in Sanjay Homes Opera, Selaiyur","Bharathidasan Nagar Road, Puthur, Tiruvanchery, Selaiyur, Chennai ...",11000,60000,962,Semi Furnished,1-3 years ,Family,Ready to Move
435,"3 BHK in Mgp villa, Valasaravakkam","Anbu Nagar Main Road, Anbu Nagar, Near Muthu Mariamman Temple",17000,100000,1200,UnFurnished,3-5 years ,All,Ready to Move
436,"2 BHK in Priya royal, Pallikaranai",Manimegalai Street Near Tamilnadu Electricity Board Office Pallik ...,12000,60000,1100,Semi Furnished,3-5 years ,All,Ready to Move
437,"2 BHK in ATL illam, West Mambalam","Kodambakkam Rd, Near Mettupalayam Market And Freezy Juice World & ...",14000,120000,800,Semi Furnished,5-10 years ,Family,Ready to Move
438,2 BHK in Adambakkam,"Standalone Building, Bhuvaneswari Nagar I Nagar Near D.a.v. Schoo ...",17500,70000,900,UnFurnished,1-3 years ,Family,Ready to Move
439,1 BHK in Ponniammanmedu,"Independent House, Sastry Nagar Extension Main Road,near The Wesl ...",6500,50000,600,UnFurnished,3-5 years ,Family,Ready to Move
440,"2 BHK in Standlaone Building, Mogappair West",5th Street Mogappair Eri Scheme Near Nolambur Police Station,11500,50000,1000,UnFurnished,5-10 years ,Family,Ready to Move
441,2 BHK in Iyyapanthangal,"Independent House, Ramachandra Nagar, Near Sri Ramachandra Univer ...",8500,50000,650,UnFurnished,3-5 years ,Family,Ready to Move
442,"2 BHK in Shreyas aparment, Ashok Nagar",Near Kfc,15000,150000,650,UnFurnished,Newly Constructed,Family,Ready to Move
443,"1 BHK in Anakaputhur, Chamundeshwari Nagar, Anakaputhur, Chennai, ...","Independent House, Kanagi St Raghavendra Kovil St, Near Sri Ragav ...",4000,24000,400,UnFurnished,Newly Constructed,Family,01-Mar-2019
444,1 BHK in Sembakkam,"Independent House, Velachery Main Rd, Near Sembakkam Municipality ...",6000,35000,700,UnFurnished,Newly Constructed,Family,Ready to Move
445,"2 BHK in Krishna's Castle, Virugambakkam","Chinmaya Nagar, Sai Nagar, Near Virugambakkam Bridge And Supermar ...",10000,1000000,650,Semi Furnished,Newly Constructed,Family,Ready to Move
446,1 BHK in Egmore,"Standalone Building, Swamy Street Near Egmore Childrens Hospital, ...",12300,100000,470,UnFurnished,>10 years ,Family,Ready to Move
447,"2 BHK in Pothigai flats, Mettukuppam","Srinivasa Nagar, Vpg Avenue Extn, Behind Akdr Golf Village",14000,75000,1056,Semi Furnished,3-5 years ,Family,Ready to Move
448,"2 BHK in flowers and petals, Perumbakkam, Chennai, Tamil Nadu, In ...","Shekaran Nagar, Near Gleneagles Global Health City",12000,40000,800,Semi Furnished,1-3 years ,All,Ready to Move
449,1 BHK in Red Hills,"Independent House, Pt Murthy Nagar,near Shree Nursing Home And S ...",4500,50000,350,Semi Furnished,Newly Constructed,Family,Ready to Move
450,"2 BHK in Anugraha, Chetpet","Spur Tank Road, Mukta Gardens, Near Cafe Adoniya",35000,280000,1300,Semi Furnished,Newly Constructed,Family,Ready to Move
451,"2 BHK in Silver Streak Apartments, Anna Nagar West","18th Main Rd, Near Reliance Fresh",25000,250000,1050,Semi Furnished,5-10 years ,All,Ready to Move
452,2 BHK in Velachery,"Independent House, Tnhb Colony Near Nanda Green Associates",-,1200000,900,UnFurnished,3-5 years ,Family,Ready to Move
453,1 BHK in Velachery,"Independent House, Tnhb Colony Near Nanda Green Associates",-,700000,550,UnFurnished,Newly Constructed,Family,Ready to Move
454,2 BHK in Pammal,"Independent House, Muthukaruppan St, Pasumpon Nagar Extension,nea ...",9500,50000,1300,UnFurnished,3-5 years ,Family,Ready to Move
455,"2 BHK in Maruthi Manor, Sithalapakkam","Srinivasan Nagar, Near R. V. Matriculation School",9500,50001,850,Semi Furnished,5-10 years ,All,Ready to Move
456,"2 BHK in Empire Breeze, Thoraipakkam, Thoraipakkam, Chennai, Tami ...",Tamil Nadu,20000,60000,1100,Semi Furnished,5-10 years ,Bachelors,Ready to Move
457,3 BHK in Chromepet,"Standalone Building, Nehru Nagar , Near Madras Institute Of Techn ...",15000,100000,1400,Semi Furnished,5-10 years ,All,Ready to Move
458,"2 BHK in Aditya Shelters, Anna Nagar, Anna Nagar","Shanthi Colony, Near Shankar Ias Academy",30000,200000,1100,Semi Furnished,5-10 years ,Family,15-Feb-2019
459,"2 BHK in Malarpriya Homes, Sembakkam","Voc St, Ranga Colony, Rajakilpakkam, Near Srinivasan Stores",12000,70000,900,Semi Furnished,1-3 years ,Family,Ready to Move
460,"1 BHK in Kurunji Vendan Apartment, Rajakilpakkam, Chennai, Tamil ...","1st Street, Sivasakthi Nagar",7500,70000,626,Semi Furnished,3-5 years ,All,Ready to Move
461,"1 BHK in siva illam, Palavakkam","Palkalai Nagar , Near Csi Church Of Jesus Christ",12000,75000,600,Semi Furnished,3-5 years ,Family,01-Apr-2019
462,1 RK in Perambur,"Independent House, Maniyammai Nagar, Near Shri Jret Girls High Sc ...",5500,50000,275,UnFurnished,Newly Constructed,All,Ready to Move
463,1 BHK in Palavakkam,"Independent House, Evr Periyar Street, Krishna Nagar,near Medplus ...",13000,50000,1100,Semi Furnished,3-5 years ,Bachelors,Ready to Move
464,1 BHK in T Nagar,"Standalone Building, Venkatanarayana Rd, Near Thirumala Thirupath ...",17000,100000,1100,Semi Furnished,>10 years ,Family,Ready to Move
465,1 BHK in Ramapuram,"Standalone Building, 12th Cross Street, Venkateshwara Nagar, Near ...",9000,40000,700,UnFurnished,5-10 years ,All,Ready to Move
466,1 BHK in Taramani,"Standalone Building, Govindan Street Near Panchamukha Hanuman Tem ...",15000,50000,600,UnFurnished,>10 years ,All,Ready to Move
467,2 BHK in Triplicane,"Standalone Building, Kasim Ali 2nd St, Near Arulmigu Sri Parthasa ...",18000,180000,700,UnFurnished,1-3 years ,Family,Ready to Move
468,"2 BHK in Balambigai Homes, Kilkattalai","Thenmozhi Nagar, Kilkattalai, Chennai, Tamil Nadu, India.",11500,70000,850,Semi Furnished,3-5 years ,Family,17-Feb-2019
469,1 RK in Iyyappanthangal,"Independent House, Amman Kovil Street,near Ramachandra Hospital ( ...",3000,9000,130,Semi Furnished,1-3 years ,Bachelors,Ready to Move
470,"2 BHK in RAJENDRAN, Anna Nagar","Nathamuni Street, Near Ratna Apartments And Aristo Apartments",12000,100000,1000,UnFurnished,1-3 years ,All,Ready to Move
471,1 BHK in Pallikaranai,"Standalone Building, Nehru 3rd Sttreet,near Hope Ag Church",6000,30000,400,Semi Furnished,Newly Constructed,Family,Ready to Move
472,"3 BHK in Sterling Ganges, Kattupakkam","Poonamalle High Road, Kattupakkam, Chennai-600056, Tamil Nadu, In ...",28000,280000,1435,Full Furnished,5-10 years ,All,Ready to Move
473,1 RK in West Mambalam,"Independent House, , Ellaiaman Amman Koil St Near Srinivasa Theat ...",8000,30000,600,Semi Furnished,Newly Constructed,All,Ready to Move
474,1 BHK in Sholinganallur,"Independent House, Off Vigneshwara Road,near India Post Office S ...",10000,60000,750,UnFurnished,5-10 years ,Family,Ready to Move
475,1 BHK in Vettuvankeni,"Independent House, 4th Main Road Karpaga Vinayaka Nagar Near Di ...",9000,50000,700,UnFurnished,Newly Constructed,All,Ready to Move
476,2 BHK in Sholinganallur,"Standalone Building, Ecr Near Iskcon",8000,24000,700,Semi Furnished,Newly Constructed,All,Ready to Move
477,2 BHK in Padi,"Independent House, Sardar Patel Road,, Kumaran Nagar, Near Health ...",16000,160000,1000,Semi Furnished,3-5 years ,All,Ready to Move
478,"2 BHK in Pothigai Apartments, Nesapakkam","Raghavendra Nagar, Near Arulmigu Varasakthi Vinayagar Temple",18000,100000,1000,Semi Furnished,1-3 years ,All,Ready to Move
479,1 BHK in Tambaram,"Independent House, Karpagam Nagar Near Selaiyur Zion Hr, Secondar ...",8250,30000,580,Semi Furnished,3-5 years ,Family,01-Mar-2019
